doc_cedente,razao_social_cedente,exposicao_estimada,n_veiculos,cnpj_empresa_rj,razao_social_rj,evento,data_evento,tribunal,papel_fidc,chave_casamento,nivel_evidencia,fonte,observacao
16945787000102,OAZ COMERCIAL LTDA EM RECUPERACAO JUDICIAL,21069016.776012,1,16945787000102,OAZ COMERCIAL LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
04531177000175,LATICINIO FRIOLACK LTDA EM RECUPERACAO JUDICIAL,19619379.6912,1,04531177000175,LATICINIO FRIOLACK LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
82916172000174,CANGURU PLASTICOS LTDA EM RECUPERACAO JUDICIAL,19535504.635097,2,82916172000174,CANGURU PLASTICOS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
17048464000170,MAFINI INCORPORADORA DE IMOVEIS LTDA EM RECUPERACAO JUDICIAL,19293572.664828,1,17048464000170,MAFINI INCORPORADORA DE IMOVEIS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
95756110000194,DIOXYL REVESTIMENTOS QUIMICOS LTDA EM RECUPERACAO JUDICIAL,17323890.10704,1,95756110000194,DIOXYL REVESTIMENTOS QUIMICOS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
05031652000107,RODOJUSTI TRANSPORTES E COMERCIO LTDA EM RECUPERACAO JUDICIAL,16776799.917692998,2,05031652000107,RODOJUSTI TRANSPORTES E COMERCIO LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
01292579000176,BOA VISTA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA EM RECUPERACAO JUDICIAL,16246485.366144,1,01292579000176,BOA VISTA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
78900511000157,LATICINIOS LATCO LTDA. - EM RECUPERACAO JUDICIAL,16226474.8626,1,78900511000157,LATICINIOS LATCO LTDA. - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
65573776000146,RAFARILLO INDUSTRIA DE CALCADOS LTDA - EM RECUPERACAO JUDICIAL,14836655.5827,2,65573776000146,RAFARILLO INDUSTRIA DE CALCADOS LTDA - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
07770721000120,ALUMIPACK INDUSTRIA DE EMBALAGENS LTDA EM RECUPERACAO JUDICIAL,12842803.3356,1,07770721000120,ALUMIPACK INDUSTRIA DE EMBALAGENS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
32254138000103,MASSA FALIDA DO BANCO BVA S.A.,12491382.6465,1,32254138000103,MASSA FALIDA DO BANCO BVA S.A.,falência,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
07164263000185,KADAO S A EM RECUPERACAO JUDICIAL,12095069.715,1,07164263000185,KADAO S A EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
21240146000184,AGROGALAXY PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL,11907935.296776,1,21240146000184,AGROGALAXY PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL,plano homologado (pedido em 18/09/2024; plano homologado após ~8 meses),2024-09-18,TJGO — 19ª Vara Cível e Ambiental da Comarca de Goiânia,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://agrogalaxy.com.br/wp-content/uploads/2024/10/Fato-Relevante-Deferimento-Recuperacao-Judicial.pdf ; https://br.advfn.com/jornal/2025/01/agrogalaxy-firma-acordo-com-fidc-terra-magna-para-a-retomada-da-operacao-de-descontos-de-recebiveis ; https://neofeed.com.br/negocios/em-recuperacao-judicial-agrogalaxy-quer-vender-carteira-de-credito-de-r-760-milhoes/,"Ligação com FIDC documentada por fato relevante e imprensa, e confirmada por CNPJ na nossa base. O TJ-GO decidiu que créditos com cessão fiduciária de recebíveis NÃO se submetem à RJ (extraconcursais, art. 49 §3º) — ilustração direta da distinção do §6 da metodologia. Caso exemplar do regime da Resolução CVM 240/2026: empresa em RJ cedendo recebíveis performados a FIDC."
16948500000190,IMARF INDUSTRIA DE GRANITOS DO CEARA LTDA EM RECUPERACAO JUDICIAL,10827630.11574,1,16948500000190,IMARF INDUSTRIA DE GRANITOS DO CEARA LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
50719061000181,COUROQUIMICA COUROS E ACABAMENTOS LTDA EM RECUPERACAO JUDICIAL,9673369.73304,1,50719061000181,COUROQUIMICA COUROS E ACABAMENTOS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
22541783000153,MGM PRODUTOS SIDERURGICOS S/A EM RECUPERACAO JUDICIAL,9014708.257,1,22541783000153,MGM PRODUTOS SIDERURGICOS S/A EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
44705141000185,S.A.F BOTAFOGO - EM RECUPERACAO JUDICIAL,8894069.449353,1,44705141000185,S.A.F BOTAFOGO - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
04864438000179,MERCO FITNESS DA AMAZONIA INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE GINASTICA LTDA EM RECUPERACAO JUDICIAL,8797104.7515,1,04864438000179,MERCO FITNESS DA AMAZONIA INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE GINASTICA LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
44023661000108,U T C ENGENHARIA S/A - EM RECUPERACAO JUDICIAL,7082103.8,1,44023661000108,U T C ENGENHARIA S/A - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
53966834000112,TNG COMERCIO E INDUSTRIA DE ROUPAS LTDA EM RECUPERACAO JUDICIAL,6998906.23107,1,53966834000112,TNG COMERCIO E INDUSTRIA DE ROUPAS LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
60398369000126,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,6869658.451343999,1,60398369000126,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
