DENOM_SOCIAL,CNPJ,DT_COMPTC,VL_PL,ADMIN,gestor
IRÍDIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609670000103,2025-06-30,375378418.38,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LUSO X FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP,50360138000170,2025-06-30,367974045.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPECIAL SITUATION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO,22945880000101,2025-06-30,355527882.19,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
VIRAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53415069000142,2025-06-30,355011532.93,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
FLYNN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54153227000104,2025-06-30,350542417.69,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LOGAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51007736000122,2025-06-30,347496916.97,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45703173000104,2025-06-30,341697864.46,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
TERPSÍCORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57269975000137,2025-06-30,340893860.67,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
RINDT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51151251000108,2025-06-30,340174939.01,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
XENON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,54332890000168,2025-06-30,325791297.52,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VERZEKERING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53262924000122,2025-06-30,325785190.6,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MANSELL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55823114000123,2025-06-30,307227660.3,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VANTAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56945961000123,2025-06-30,301791474.54,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
QUORRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53848060000125,2025-06-30,290158669.47,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
YVRAC FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,60398327000195,2025-06-30,281952278.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
FANGIO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,57268846000124,2025-06-30,268318872.62,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
NORFOLK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54349373000100,2025-06-30,266486596.49,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG CONSIG PÚBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56049721000140,2025-06-30,253528837.88,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
REAG MASTER FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776150000179,2025-06-30,199014624.53,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
REAG RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776322000104,2025-06-30,150943165.25,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
AEDGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57377862000155,2025-06-30,150766099.16,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
URANO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54501301000128,2025-06-30,149792088.12,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SSA FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,45703190000141,2025-06-30,132533317.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VENTURE FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54950304000149,2025-06-30,114142754.59,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
HILL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,41673465000190,2025-06-30,113968805.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
STARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609463000159,2025-06-30,99032954.95,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
WESSEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,53864983000170,2025-06-30,83824457.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
VALKYRIES FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54852109000186,2025-06-30,78762322.62,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
WILDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,51030502000104,2025-06-30,74088122.57,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
CEDRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61471945000186,2025-06-30,73045188.63,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
ZANDVOORT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57679175000194,2025-06-30,57563809.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
CIMITARRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,23077181000150,2025-06-30,57332504.68,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
OTTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53247140000125,2025-06-30,57233323.98,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
CARBON SECURITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59336923000161,2025-06-30,47489346.44,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
ALENTEJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42084488000122,2025-06-30,41882443.37,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
MUFFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,43740863000108,2025-06-30,31552128.89,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,59035976000142,2025-06-30,26320050.9,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VIVACE SHOPPING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60707793000105,2025-06-30,21842324.02,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
SIMBA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776050000142,2025-06-30,15219237.99,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
EC CAPITAL MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60395009000170,2025-06-30,12593446.7,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
SMASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528148000183,2025-06-30,8803094.49,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
FASHION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,53848229000147,2025-06-30,8482254.54,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG FUNDO DE INVESTIMENTOS NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DIREITOS CREDITÓRIOS,49637238000111,2025-06-30,7734900.48,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
ANDROMEDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54419151000108,2025-06-30,7326259.1,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
ENGELBERG 41 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,43809891000134,2025-06-30,5295912.31,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
HORTÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56052655000168,2025-06-30,4333057.54,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
VALHALLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,51033533000100,2025-06-30,3513968.15,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
KOMBI AZUL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53323851000131,2025-06-30,3127449.26,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
XINGÓ FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,43810395000109,2025-06-30,2927395.19,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
KOLEOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55201186000139,2025-06-30,142548.27,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SANEOCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52351713000101,2025-06-30,0.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
PAINITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57117669000185,2025-06-30,0.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
RR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528925000190,2025-06-30,-24040.27,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPORTAINMENT CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52842504000152,2025-06-30,-67343.49,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,KUMB INVEST S.A.
DUDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,55054219000165,2025-06-30,-130509.1,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
NOIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,55052168000132,2025-06-30,-529117.44,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
CHIRON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,55051847000197,2025-06-30,-768626.61,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,2025-12-31,6476031949.31,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,2025-12-31,1867671930.88,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,46879223000171,2025-12-31,1299226704.89,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
RAIKKONEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53313856000183,2025-12-31,836792071.77,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MTPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADO,49124193000181,2025-12-31,449220745.34,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
PLÊIADES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46879137000169,2025-12-31,447900085.83,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LEGACY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52967434000169,2025-12-31,387729369.3,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
IRÍDIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609670000103,2025-12-31,375310907.66,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LUSO X FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP,50360138000170,2025-12-31,374908099.07,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPECIAL SITUATION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO,22945880000101,2025-12-31,373273408.61,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
VIRAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53415069000142,2025-12-31,354928818.32,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
FLYNN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54153227000104,2025-12-31,350474906.97,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LOGAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51007736000122,2025-12-31,347429409.89,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
TERPSÍCORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57269975000137,2025-12-31,340810677.98,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
RINDT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51151251000108,2025-12-31,340092224.4,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
XENON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,54332890000168,2025-12-31,325708582.9,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VERZEKERING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53262924000122,2025-12-31,325701756.41,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MANSELL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55823114000123,2025-12-31,307150527.19,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VANTAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56945961000123,2025-12-31,301714341.42,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
QUORRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53848060000125,2025-12-31,290081536.34,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
BETEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60617666000115,2025-12-31,271242366.71,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
FANGIO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,57268846000124,2025-12-31,268241739.5,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
NORFOLK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54349373000100,2025-12-31,266409463.38,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
URANO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54501301000128,2025-12-31,149720391.79,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SSA FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,45703190000141,2025-12-31,147022829.11,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
HILL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,41673465000190,2025-12-31,113897108.76,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
STARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609463000159,2025-12-31,98961259.18,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VALKYRIES FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54852109000186,2025-12-31,78694960.61,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
WILDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,51030502000104,2025-12-31,74020760.56,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
