razao_social,cnpj,grupo,setor,tipo_processo,data_evento,status_processual,tribunal,numero_processo,divida_noticiada_rs,exposicao_fidc_noticiada,natureza_ligacao_fidc,e_cedente_na_base_fidc,nivel_evidencia,fonte_url,observacao
ROOT BRASIL AGRONEGOCIOS S/A EM RECUPERACAO JUDICIAL,13191431000124,Root Brasil,Agronegócio,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte (empresa sediada em MT),,143200000,"35,1% da dívida da RJ em FIDCs (levantamento Chimera Capital)",cedente de direitos creditórios em FIDC e devedora de credores FIDC,"sim — CNPJ idêntico, 4 veículos, cedente de 2019-11 a 2026-07, exposição estimada R$ 2,9 mi",fato confirmado por fonte primária,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; Cadastro CNPJ/RFB,"Única empresa do levantamento Chimera cujo CNPJ foi confirmado contra a nossa base por meio do sufixo legal de RJ no cadastro CNPJ. Cedente de longa data (desde 2019) e ainda ativa como cedente em 2026-07, já em RJ."
ALLIANCA SAUDE,,,Saúde,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,1320000000,"36,9% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
AUTEM DO BRASIL (+ 4 filiais),,,Agronegócio,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,47100000,"25,5% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
RODOPARANA,,,Transporte,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,386000000,"16,4% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
GRUPO ALPHA / NOVA NOIVA,,,Moda,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,41300000,"15,2% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana. Nome genérico ('Grupo Alpha') — risco elevado de homonímia; casamento por nome vedado."
PROVIDER CONTACT CENTER,,,TI / call center,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,181300000,"13,5% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
COTRIBA (Cooperativa Tritícola Sepeense),,,Agronegócio / cooperativa,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,1430000000,"6,3% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana. Situação processual instável: liminar concedida, depois suspensa em 2ª instância sob o argumento de que cooperativa não pode pedir RJ; grupo chegou a desistir do pedido em fev/2026. Status ainda não consolidado."
GRUPO HUBNER (8 empresas),,,Moda,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,261100000,"4,7% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
COLORMINAS (SC Holding + 3 subsidiárias),,,Mineração,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,226300000,"4,6% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
XALINGO,,,Brinquedos,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,58800000,"1,5% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
BARRA VELHA (+ 2 PF),,,Indústria,Recuperação judicial,2026 (1º quadrimestre),pedido/deferimento em 2026 — fase específica não detalhada na fonte,não detalhado na fonte,,36350000,"0,02% da dívida da RJ em FIDCs",FIDC consta como credor na recuperação judicial,não verificável — CNPJ não divulgado na fonte,indício forte,https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/ ; https://economicnewsbrasil.com.br/2026/05/31/fidcs-expostos-recuperacao-judicial-credito-privado/,"Levantamento da gestora Chimera Capital para o Crédito Privado 360: 56 RJs de 2026 com dívida mínima de R$ 10 mi, somando R$ 29,3 bi; FIDCs aparecem em 14 delas, com R$ 3,8 bi. CNPJ não divulgado — vínculo com a nossa base de cedentes NÃO afirmado; requer validação humana."
