caso_id,entidade_principal,cnpj_se_conhecido,papel,tipo_evento,data_evento,descricao_irregularidade,status_processual,fonte_url,nivel_evidencia
CR011,Trendbank S.A. Banco de Fomento,nao localizado em fonte publica consultada,gestor,PAS,2022-05-17,"PAS CVM SEI 19957.008901/2016-44 (RJ2017/02029), relativo ao FIDC Multisetorial. Segundo a acusacao da area tecnica da CVM, foram utilizadas operacoes de credito simuladas para transferir valores de cotistas do fundo; o fundo teria adquirido direitos creditorios sem lastro, de empresas inexistentes ou de empresas reais cujos dados teriam sido indevidamente apropriados para emissao de duplicatas em seus nomes. Condenacao com multa de R$ 500.000,00.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2022/cvm-multa-em-r-1-75-milhao-acusados-por-irregularidades-em-administracao-gestao-e-custodia-de-fidc-alem-de-operacao-fraudulenta-no-mercado,fato confirmado por fonte primaria
CR012,Controlador e diretor da Trendbank (pessoa natural - nome nao reproduzido no painel publico),nao aplicavel (pessoa natural),gestor,PAS,2022-05-17,"PAS CVM SEI 19957.008901/2016-44. Condenado a multa de R$ 500.000,00 por envolvimento direto na operacao apontada como fraudulenta no FIDC Multisetorial.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2022/cvm-multa-em-r-1-75-milhao-acusados-por-irregularidades-em-administracao-gestao-e-custodia-de-fidc-alem-de-operacao-fraudulenta-no-mercado,fato confirmado por fonte primaria
CR013,Banco Santander (Brasil) S.A.,nao localizado em fonte publica consultada,custodiante,PAS,2022-05-17,"PAS CVM SEI 19957.008901/2016-44. Na qualidade de custodiante do FIDC Multisetorial, condenado a multa total de R$ 450.000,00 por falta de diligencia no exercicio de suas funcoes (tres imputacoes).",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2022/cvm-multa-em-r-1-75-milhao-acusados-por-irregularidades-em-administracao-gestao-e-custodia-de-fidc-alem-de-operacao-fraudulenta-no-mercado,fato confirmado por fonte primaria
CR014,Banco Finaxis S.A.,nao localizado em fonte publica consultada,administrador,PAS,2022-05-17,"PAS CVM SEI 19957.008901/2016-44. Na qualidade de administrador do FIDC Multisetorial, condenado a multa de R$ 100.000,00 por falta de diligencia. Seu diretor responsavel foi multado em R$ 50.000,00.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2022/cvm-multa-em-r-1-75-milhao-acusados-por-irregularidades-em-administracao-gestao-e-custodia-de-fidc-alem-de-operacao-fraudulenta-no-mercado,fato confirmado por fonte primaria
CR015,Planner Corretora de Valores S.A.,nao localizado em fonte publica consultada,administrador e gestor,PAS,2022-05-17,"PAS CVM SEI 19957.008901/2016-44. Condenada a multa de R$ 100.000,00 por falta de diligencia no exercicio de suas funcoes no FIDC Multisetorial. Seu diretor responsavel foi multado em R$ 50.000,00. O papel exato (administracao ou gestao) e descrito de forma nao uniforme nas fontes secundarias; a fonte oficial da CVM lista a entidade entre os acusados por irregularidades em administracao, gestao e custodia.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2022/cvm-multa-em-r-1-75-milhao-acusados-por-irregularidades-em-administracao-gestao-e-custodia-de-fidc-alem-de-operacao-fraudulenta-no-mercado,indicio forte
CR016,Oliveira Trust DTVM S.A.,nao localizado em fonte publica consultada,administrador,PAS,2015-10-20,"PAS CVM RJ2013/5456, relativo ao Union National FIDC Financeiros e Mercantis e ao Eco Multi Commodities FIDC Financeiros Agropecuarios. Imputacoes de falhas na manutencao da documentacao dos direitos creditorios, classificacao inadequada de risco de credito e descumprimento do regulamento dos fundos, incluindo a ausencia de analise individualizada de creditos acima de R$ 50 mil exigida por resolucao do CMN. Condenada a tres multas de R$ 1.000.000,00, totalizando R$ 3.000.000,00. O diretor responsavel recebeu proibicao temporaria de 2 anos e 6 meses para atuar como diretor responsavel.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2015/cvm-pune-administrador-e-custodiante-de-fidcs-a2fe68e49c584da6acb67577c2459864,fato confirmado por fonte primaria
CR017,Banco Bradesco S.A.,nao localizado em fonte publica consultada,custodiante,PAS,2015-10-20,"PAS CVM RJ2013/5456. Na qualidade de custodiante do Union National FIDC e do FIDC Agro, condenado a tres multas de R$ 500.000,00 (total R$ 1.500.000,00) por metodos inadequados de liquidacao, delegacao indevida da guarda de documentos e falhas no controle da documentacao.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2015/cvm-pune-administrador-e-custodiante-de-fidcs-a2fe68e49c584da6acb67577c2459864,fato confirmado por fonte primaria
CR018,KPMG Auditores Independentes,nao localizado em fonte publica consultada,auditor independente,PAS,2015-09-29,"PAS CVM RJ2013/9762, relativo ao Union National FIDC Financeiros e Mercantis. Imputacao de falhas nos procedimentos de auditoria da provisao para creditos de liquidacao duvidosa: ausencia de analise individualizada de creditos acima de R$ 50 mil e ausencia de consideracao da necessidade de provisionamento complementar para cedentes alem dos quatro mais representativos, com emissao de parecer sem as ressalvas necessarias. Infracao a NBC T 11 (itens 11.2.11.3 e 11.3.3.1) e ao art. 20 da ICVM 308. Condenada a multa de R$ 1.000.000,00, correspondente ao dobro da multa maxima. O socio tecnico responsavel foi multado em R$ 200.000,00.",condenacao (1a instancia administrativa),https://www.gov.br/cvm/pt-br/assuntos/noticias/2015/cvm-pune-auditores-de-fidc-0de924c48c294d998aace2dee33552e9,fato confirmado por fonte primaria
CR019,Bem DTVM Ltda. (administradora do FIDC ACB),nao localizado em fonte publica consultada,administrador,decisao de colegiado em processo de supervisao,2020-03-03,"Processo SEI 19957.006097/2018-21. O FIDC ACB foi estruturado por FGC e Banco Cruzeiro do Sul como instrumento de repasse de liquidez do FGC ao banco, com cessao de creditos em garantia. A SIN apontou uso de criterios contabeis inadequados na precificacao das cotas desde novembro de 2013, com remuneracao do cotista senior (FGC) acima do limite regulamentar. O Colegiado rejeitou por unanimidade os recursos de credores e do Metrus, mantendo a decisao da area tecnica de emitir Oficio de Alerta ao administrador SEM determinacao de refazimento das demonstracoes financeiras.","decisao (recurso rejeitado; medida adotada foi oficio de alerta, nao sancao)",https://conteudo.cvm.gov.br/decisoes/2020/20200303_R1/20200303_D1510.html,fato confirmado por fonte primaria
CR020,Banco Cruzeiro do Sul S.A.,62.136.254/0001-99,cedente e originador,intervencao,2012-06-04,"Submetido pelo Banco Central ao Regime de Administracao Especial Temporaria (RAET) em 04/06/2012, conduzido pelo FGC, em contexto de suspeitas de fraude contabil. Em 18/06/2012 o BCB instaurou inquerito administrativo. Em 14/08/2012 auditoria do FGC apontou ajustes contabeis superiores a R$ 3,1 bilhoes. Relevancia para FIDC: o banco era cedente de carteiras de consignado a FIDCs e o caso e o precedente classico de lastro inexistente cedido a fundo do proprio grupo. As cifras e a caracterizacao de fraude provem de fontes jornalisticas e de auditoria do FGC, nao de decisao judicial transitada em julgado.",decisao (regime especial decretado pelo BCB; apuracoes penais e civeis correram em separado),https://www.conjur.com.br/2012-set-27/banco-central-decretar-falencia-banco-cruzeiro-sul/,indicio forte
CR021,Banco Cruzeiro do Sul S.A.,62.136.254/0001-99,cedente e originador,liquidacao BCB,2012-09-14,"O Banco Central decretou a liquidacao extrajudicial do Banco Cruzeiro do Sul em 14/09/2012, apos o RAET nao resultar em recuperacao da instituicao. A falencia foi posteriormente decretada. O CNPJ indicado consta de documento societario arquivado no sistema RAD da CVM.",decisao (liquidacao extrajudicial decretada pelo BCB),https://www.conjur.com.br/2012-set-27/banco-central-decretar-falencia-banco-cruzeiro-sul/,indicio forte
CR022,Banco Master S.A.,33.923.798/0001-00,cedente e parte relacionada de prestadores de FIDC,liquidacao BCB,2025-11-18,"Segundo noticiario e o registro do Banco Central, o BCB decretou em 18/11/2025 a liquidacao extrajudicial do Banco Master S.A. e de outras entidades do conglomerado, motivada por grave crise de liquidez, graves violacoes as normas do SFN e comprometimento da situacao economico-financeira. A situacao de liquidacao extrajudicial da instituicao esta confirmada no Portal de Dados Abertos do BCB (conjunto de dados 'SFN - BANCO MASTER - EM LIQUIDACAO EXTRAJUDICIAL', CNPJ 33.923.798/0001-00). A relacao com FIDCs decorre de operacoes de cessao, funding e prestacao de servicos por entidades ligadas; a extensao dessa relacao ainda e objeto de apuracao. A liquidacao de um prestador ou contraparte NAO implica, por si so, irregularidade de cada FIDC associado.",decisao (liquidacao extrajudicial decretada pelo BCB; apuracoes conexas em curso),https://dadosabertos.bcb.gov.br/dataset/ir-33923798000100,fato confirmado por fonte primaria
CR023,CBSF DTVM S.A. (nova denominacao de Reag Trust Distribuidora de Titulos e Valores Mobiliarios S.A.),34.829.992/0001-86,administrador,liquidacao BCB,2026-01-15,"O Banco Central decretou em 15/01/2026 a liquidacao extrajudicial da CBSF DTVM S.A., nova denominacao da Reag Trust DTVM S.A., com termo legal fixado em 17/11/2025 e nomeacao de liquidante. A motivacao divulgada foi o comprometimento da situacao financeira da instituicao e graves violacoes as normas que disciplinam a atividade das instituicoes do SFN. Segundo o noticiario, a autoridade monetaria referiu que fundos administrados pela Reag teriam estruturado operacoes fraudulentas com o Banco Master entre julho de 2023 e julho de 2024 - imputacao ainda sob apuracao, nao decidida em processo sancionador ou judicial. A situacao de liquidacao extrajudicial esta confirmada no Portal de Dados Abertos do BCB (conjunto 'SFN - CBSF DTVM - EM LIQUIDACAO EXTRA', CNPJ 34.829.992/0001-86). Com a liquidacao, os fundos administrados permanecem ativos e devem ser assumidos por novas instituicoes; o patrimonio dos fundos e segregado do patrimonio do prestador.",decisao (liquidacao extrajudicial decretada pelo BCB; investigacao e apuracoes conexas em curso),https://dadosabertos.bcb.gov.br/dataset/ir-34829992000186,fato confirmado por fonte primaria
CR024,Multiplike Plus FIDC,nao localizado em fonte publica consultada,fundo,stop order,2026-05-20,"A Superintendencia de Registro de Valores Mobiliarios (SRE) da CVM determinou a suspensao imediata de quatro ofertas publicas de distribuicao de cotas do Multiplike Plus FIDC (13a a 17a series de cotas mezanino e 20a a 22a series de cotas senior, todas da 1a emissao), apos detectar irregularidades nos termos das Resolucoes CVM 160 e 175 na verificacao da documentacao submetida nos pedidos de registro. Base legal: art. 70 da Resolucao CVM 160. Suspensao ate 19/06/2026; nao sanadas as irregularidades no prazo, seria determinada a retirada das ofertas e o cancelamento dos respectivos registros. Trata-se de medida cautelar e saneadora no ambito de registro de oferta, NAO de decisao de merito em processo sancionador.",decisao (medida cautelar de suspensao de oferta com prazo para saneamento),https://www.gov.br/cvm/pt-br/assuntos/noticias/2026/suspensas-quatro-ofertas-publicas-de-distribuicao-de-cotas-do-multiplike-plus-fidc,fato confirmado por fonte primaria
CR025,Regen Servicos Fiduciarios Ltda.,nao localizado em fonte publica consultada,administrador,PAS,2025-04-08,"PAS CVM 19957.011992/2023-24. Acusada de prestacao reiterada de informacoes imprecisas a CVM sobre a liquidez de fundos de investimento sob sua administracao fiduciaria, em infracao ao art. 19 da ICVM 558 (fatos ate 30/06/2021) e ao art. 22 da Resolucao CVM 21 (a partir de 01/07/2021). Condenada por unanimidade a multa de R$ 255.000,00. A fonte oficial NAO especifica que os fundos envolvidos sejam FIDC; o caso e registrado aqui como precedente de responsabilizacao de administrador fiduciario por qualidade de informacao periodica, tema diretamente relevante para a confiabilidade da base de dados do painel.",condenacao (1a instancia administrativa; cabe recurso ao CRSFN com efeito suspensivo),https://www.gov.br/cvm/pt-br/assuntos/noticias/2025/cvm-multa-em-r-255-mil-administrador-fiduciario-por-falhas-em-controles-internos,fato confirmado por fonte primaria
CR026,FIDC Gold Style e demais veiculos do ecossistema Reag mencionados na Operacao Carbono Oculto,nao localizado em fonte publica consultada,fundo,investigacao penal e administrativa,2025-08-28,"Em 28/08/2025 foi deflagrada a Operacao Carbono Oculto (Policia Federal, Ministerio Publico de Sao Paulo e Receita Federal), com cumprimento de mandados contra grande numero de alvos, incluindo gestoras e instituicoes financeiras. Reportagens atribuem a orgaos de investigacao a afirmacao de que o FIDC Gold Style teria recebido recursos de empresas apontadas como ligadas a esquema de lavagem de dinheiro. TRATA-SE DE INVESTIGACAO EM CURSO: nao ha, ate a data de referencia deste registro (18/08/2026), decisao condenatoria conhecida contra o fundo ou seus prestadores relativa a esses fatos. Os valores e a caracterizacao do esquema provem de fontes jornalisticas, nao de peca oficial consultada. Este registro NAO deve ser usado para afirmar irregularidade do fundo.",investigacao (persecucao penal em curso; sem decisao de merito conhecida),nao localizado em fonte publica primaria consultada - ver dossie auditoria/casos_uso_indevido_fidc.md para as fontes jornalisticas utilizadas,hipotese
CR027,Gestores de FIDC classificados como de alto risco pela SSE,nao aplicavel,gestor,acao de supervisao (nao sancionadora),2024-09-04,"Evento de risco SSE 21 do Plano Bienal de Supervisao Baseada em Risco 2025-2026 da CVM: 'Falhas na supervisao de PLD/FTP pela industria de FIDCs', score 120, meta 'Reduzir', aprovado pelo Comite de Gestao de Riscos em 04/09/2024. Evento NOVO, nao constava do SBR 2023-2024. Regulados supervisionados: gestores de FIDC de alto risco e, residualmente, de medio risco. Acoes previstas: verificacao da aderencia da Politica de PLD/FTP a Resolucao CVM 50/2021 e supervisoes no grupo de maior potencial de dano, com 90% do peso das acoes concentrado no Grupo 1. O plano tambem institui supervisao tematica 'PLD/FTP em FIPs e FIDCs', com possibilidade de inspecoes presenciais. NAO se trata de acusacao contra entidade determinada: e priorizacao supervisoria setorial.",nao aplicavel (planejamento de supervisao),https://www.gov.br/cvm/pt-br/acesso-a-informacao-cvm/acoes-e-programas/plano-de-supervisao-baseada-em-risco/2025-2026-1/plano-bienal-sbr-cvm-2025-2026.pdf,fato confirmado por fonte primaria
